freq,unit,geo\TIME_PERIOD	2017 	2018 	2019 	2020 	2021 
A,PC_HH,PT2	83.86 	84.16 	83.35 	83.56 	88.23 
A,PC_HH,PT20	83.86 	84.16 	83.35 	83.56 	88.23 
A,PC_HH,PT3	80.90 	81.33 	83.27 	85.99 	87.14 
A,PC_HH,PT30	80.90 	81.33 	83.27 	85.99 	87.14 
A,PC_HH,RO	74.37 	78.85 	81.83 	83.58 	88.20 
A,PC_HH,RO1	74.27 	81.74 	82.81 	85.52 	89.59 
A,PC_HH,RO11	79.93 	86.60 	85.26 	88.61 	89.60 
A,PC_HH,RO12	68.00 	76.25 	80.11 	82.10 	89.58 
A,PC_HH,RO2	69.33 	69.19 	76.85 	77.88 	85.76 
A,PC_HH,RO21	67.88 	69.20 	77.10 	76.86 	86.89 
A,PC_HH,RO22	71.17 	69.18 	76.51 	79.20 	84.29 
A,PC_HH,RO3	78.20 	83.65 	84.17 	86.48 	89.53 
A,PC_HH,RO31	70.23 	74.41 	78.56 	81.93 	85.76 
A,PC_HH,RO32	87.82 	94.46 	90.71 	91.74 	93.78 
A,PC_HH,RO4	76.53 	82.76 	84.63 	85.45 	88.14 
A,PC_HH,RO41	68.59 	80.26 	82.62 	81.67 	85.90 
A,PC_HH,RO42	84.76 	85.36 	86.72 	89.40 	90.48 
A,PC_HH,RS	65.18 	72.54 	79.01 	80.76 	81.42 
A,PC_HH,RS1	: 	: 	84.73 	83.69 	84.82 
A,PC_HH,RS11	: 	: 	88.88 	93.92 	92.88 
A,PC_HH,RS12	: 	: 	81.06 	74.71 	77.76 
A,PC_HH,RS2	: 	: 	72.40 	77.41 	77.63 
A,PC_HH,RS21	: 	: 	74.37 	77.51 	79.19 
A,PC_HH,RS22	: 	: 	69.88 	77.29 	75.67 
A,PC_HH,SE	93.07 	91.36 	94.84 b	91.00 	90.96 
A,PC_HH,SE1	94.63 	92.12 	94.11 b	93.62 	93.43 
A,PC_HH,SE11	96.49 	92.91 	93.49 b	94.76 	93.47 
A,PC_HH,SE12	92.67 	91.12 	95.20 b	92.13 	93.38 
A,PC_HH,SE2	91.44 	92.51 	95.58 b	90.33 	89.96 
A,PC_HH,SE21	88.65 	90.93 	98.30 b	91.03 	90.29 
A,PC_HH,SE22	90.05 	93.94 	93.79 b	88.11 	91.31 
A,PC_HH,SE23	94.10 	92.23 	95.65 b	91.42 	88.90 
A,PC_HH,SE3	93.81 	87.20 	94.89 b	86.43 	87.78 
A,PC_HH,SE31	88.32 	88.94 	92.68 b	84.07 	89.80 
A,PC_HH,SE32	100.00 u	80.31 u	97.49 bu	91.03 	90.34 
A,PC_HH,SE33	96.94 	89.53 	96.14 b	87.32 	82.86 
A,PC_HH,SI	81.74 	86.68 	88.96 	89.97 	93.04 
A,PC_HH,SI0	81.74 	86.68 	88.96 	89.97 	93.04 
A,PC_HH,SI03	79.67 	84.13 	86.65 	89.44 	91.08 
A,PC_HH,SI04	84.28 	89.88 	91.71 	90.61 	95.28 
A,PC_HH,SK	78.91 	78.99 	80.36 	84.68 	89.93 
A,PC_HH,SK0	78.91 	78.99 	80.36 	84.68 	89.93 
A,PC_HH,SK01	83.75 	87.01 	82.61 	89.94 	96.14 
A,PC_HH,SK02	75.97 	79.90 	80.66 	84.10 	89.38 
A,PC_HH,SK03	76.96 	75.18 	78.41 	83.32 	90.51 
A,PC_HH,SK04	82.14 	77.37 	80.65 	84.11 	87.04 
A,PC_HH,TR	78.32 	82.49 	87.91 	89.86 	91.95 
A,PC_HH,TR1	89.41 	89.97 	95.47 	95.67 	97.07 
A,PC_HH,TR2	69.30 	74.49 	79.41 	83.42 	85.84 
A,PC_HH,TR3	77.43 	80.47 	85.63 	89.98 	89.88 
